Currency,USD,EUR,SGD,JPY,INR,RMB,CHF
USD,1.00,0.89,1.35,110.00,69.17,6.72,EUR
EUR,1.13,1.00,USD,124.00,USD,USD,1.12
SGD,0.74,USD,1.00,,JPY,JPY,EUR
JPY,0.01,USD,USD,1.00,USD,USD,EUR
INR,0.01,0.01,0.02,1.59,1.00,USD,EUR
RMB,0.15,USD,USD,USD,USD,1.00,EUR
CHF,1.01,USD,USD,JPY,JPY,JPY,1.00
